#Name , CpuPerUser , RamPerUser
SoftwareA , 0.0000925878 , 0.00023134928
SoftwareB , 0.0002346216 , 0.00010873289
SoftwareC , 0.0002341478 , 0.00016703272
SoftwareD , 0.0001395569 , 0.0001566334
SoftwareE , 0.0000722833 , 0.0000526648
SoftwareF , 0.0000897952 , 0.00007219708
SoftwareG , 0.000014221  , 0.00019455176
SoftwareH , 0.0001727898 , 0.0000483506
SoftwareI , 0.0002762968 , 0.00005143693
SoftwareJ , 0.0001465302 , 0.00003670926
SoftwareK , 0.0002109141 , 0.00003598881
SoftwareL , 0.0000842263 , 0.00022767031
SoftwareM , 0.0000921485 , 0.00008511021
SoftwareN , 0.0003186756 , 0.00014042849
SoftwareO , 0.0001194119 , 0.00004261876
SoftwareP , 0.0000281443 , 0.00012828253
SoftwareQ , 0.0002110169 , 0.0000600253
SoftwareR , 0.0000509828 , 0.00010242327
SoftwareS , 0.0002997512 , 0.00023168092
SoftwareT , 0.0001329881 , 0.00021481602
SoftwareU , 0.0000905593 , 0.00011274293
SoftwareV , 0.001268767  , 0.00020225838
SoftwareW , 0.0002071272 , 0.000124649
SoftwareX , 0.0001884171 , 0.00014303506
SoftwareY , 0.0002376372 , 0.00016200313
SoftwareZ , 0.0001401582 , 0.00023670144
